Month,CME Count,SF Count,Sunspot Count,CME Ratio,SF Ratio
2010-04-01,1,1,10.4,0.09615384615384615,0.09615384615384615
2010-06-01,2,1,18.8,0.10638297872340426,0.05319148936170213
2010-07-01,4,0,25.2,0.15873015873015872,0.0
2010-08-01,11,3,29.6,0.3716216216216216,0.10135135135135134
2010-09-01,5,0,36.4,0.13736263736263737,0.0
2010-10-01,8,1,33.6,0.23809523809523808,0.02976190476190476
2010-11-01,5,0,34.4,0.14534883720930233,0.0
2010-12-01,8,0,24.5,0.32653061224489793,0.0
2011-01-01,10,1,27.3,0.3663003663003663,0.03663003663003663
2011-02-01,4,8,48.3,0.08281573498964803,0.16563146997929606
2011-03-01,16,6,78.6,0.20356234096692113,0.07633587786259542
2011-04-01,13,0,76.1,0.17082785808147177,0.0
2011-05-01,10,0,58.2,0.1718213058419244,0.0
2011-06-01,16,1,56.1,0.28520499108734404,0.017825311942959002
2011-07-01,8,1,64.5,0.12403100775193798,0.015503875968992248
2011-08-01,14,3,65.8,0.2127659574468085,0.04559270516717325
2011-09-01,36,9,120.1,0.2997502081598668,0.0749375520399667
2011-10-01,26,0,125.7,0.20684168655529037,0.0
2011-11-01,36,1,139.1,0.2588066139468009,0.007189072609633357
2011-12-01,42,0,109.3,0.38426349496797807,0.0
2012-01-01,29,2,94.4,0.30720338983050843,0.0211864406779661
2012-02-01,17,0,47.8,0.3556485355648536,0.0
2012-03-01,41,8,86.6,0.4734411085450347,0.09237875288683603
2012-04-01,43,0,85.9,0.5005820721769499,0.0
2012-05-01,33,2,96.5,0.34196891191709844,0.02072538860103627
2012-06-01,34,2,92.0,0.3695652173913043,0.021739130434782608
2012-07-01,35,9,100.1,0.3496503496503497,0.08991008991008992
2012-08-01,25,2,94.8,0.26371308016877637,0.02109704641350211
2012-09-01,24,1,93.7,0.256136606189968,0.010672358591248666
2012-10-01,21,3,76.5,0.27450980392156865,0.0392156862745098
2012-11-01,33,4,87.6,0.3767123287671233,0.04566210045662101
2012-12-01,18,0,56.8,0.31690140845070425,0.0
2013-01-01,18,0,96.1,0.18730489073881373,0.0
2013-02-01,22,0,60.9,0.361247947454844,0.0
2013-03-01,12,1,78.3,0.15325670498084293,0.01277139208173691
2013-04-01,16,1,107.3,0.14911463187325258,0.009319664492078286
2013-05-01,26,6,120.2,0.21630615640599002,0.04991680532445923
2013-06-01,23,2,76.7,0.2998696219035202,0.026075619295958277
2013-07-01,27,0,86.2,0.31322505800464034,0.0
2013-08-01,34,0,91.8,0.3703703703703704,0.0
2013-09-01,28,0,54.5,0.5137614678899083,0.0
2013-10-01,60,11,114.4,0.5244755244755245,0.09615384615384615
2013-11-01,37,5,113.9,0.32484635645302895,0.043898156277436345
2013-12-01,54,2,124.2,0.43478260869565216,0.01610305958132045
2014-01-01,62,26,117.0,0.5299145299145299,0.2222222222222222
2014-02-01,76,37,146.1,0.5201916495550992,0.2532511978097194
2014-03-01,76,18,128.7,0.5905205905205906,0.13986013986013987
2014-04-01,65,5,112.5,0.5777777777777777,0.044444444444444446
2014-05-01,72,5,112.5,0.64,0.044444444444444446
2014-06-01,58,23,102.9,0.5636540330417881,0.22351797862001943
2014-07-01,47,5,100.2,0.46906187624750495,0.0499001996007984
2014-08-01,41,7,106.9,0.3835360149672591,0.06548175865294667
2014-09-01,59,12,130.0,0.45384615384615384,0.09230769230769231
2014-10-01,50,48,90.0,0.5555555555555556,0.5333333333333333
2014-11-01,48,17,103.6,0.46332046332046334,0.1640926640926641
2014-12-01,37,18,112.9,0.32772364924712133,0.15943312666076173
2015-01-01,43,13,93.0,0.46236559139784944,0.13978494623655913
2015-02-01,46,5,66.7,0.689655172413793,0.07496251874062969
2015-03-01,48,30,54.5,0.8807339449541285,0.5504587155963303
2015-04-01,51,12,75.3,0.6772908366533865,0.1593625498007968
2015-05-01,44,8,88.8,0.4954954954954955,0.0900900900900901
2015-06-01,45,16,66.5,0.6766917293233082,0.24060150375939848
2015-07-01,50,4,65.8,0.7598784194528876,0.060790273556231005
2015-08-01,45,13,64.4,0.6987577639751552,0.20186335403726707
2015-09-01,45,23,78.6,0.5725190839694657,0.2926208651399491
2015-10-01,38,12,63.6,0.5974842767295597,0.18867924528301885
2015-11-01,32,6,62.2,0.5144694533762058,0.09646302250803858
2015-12-01,36,10,58.0,0.6206896551724138,0.1724137931034483
2016-01-01,36,2,57.0,0.631578947368421,0.03508771929824561
2016-02-01,27,7,56.4,0.4787234042553192,0.12411347517730496
2016-03-01,28,1,54.1,0.5175600739371534,0.018484288354898334
2016-04-01,38,2,37.9,1.0026385224274408,0.052770448548812667
2016-05-01,31,0,51.5,0.6019417475728155,0.0
2016-06-01,32,1,20.5,1.5609756097560976,0.04878048780487805
2016-07-01,25,9,32.4,0.7716049382716049,0.2777777777777778
2016-08-01,20,2,50.2,0.398406374501992,0.0398406374501992
2016-09-01,24,0,44.6,0.5381165919282511,0.0
2016-10-01,31,0,33.4,0.9281437125748503,0.0
2016-11-01,22,2,21.4,1.0280373831775702,0.09345794392523366
2016-12-01,20,1,18.5,1.0810810810810811,0.05405405405405406
2017-01-01,18,1,26.1,0.689655172413793,0.038314176245210725
2017-02-01,18,0,26.4,0.6818181818181819,0.0
2017-03-01,14,2,17.7,0.7909604519774012,0.11299435028248588
2017-04-01,36,11,32.3,1.1145510835913313,0.3405572755417957
2017-05-01,12,0,18.9,0.634920634920635,0.0
2017-06-01,18,1,19.2,0.9375,0.052083333333333336
2017-07-01,19,6,17.8,1.0674157303370786,0.33707865168539325
2017-08-01,13,4,32.6,0.3987730061349693,0.12269938650306748
2017-09-01,29,41,43.7,0.6636155606407322,0.9382151029748284
2017-10-01,23,1,13.2,1.7424242424242424,0.07575757575757576
2017-11-01,13,0,5.7,2.280701754385965,0.0
2017-12-01,9,0,8.2,1.0975609756097562,0.0
2018-01-01,3,0,6.8,0.4411764705882353,0.0
2018-02-01,5,2,10.7,0.4672897196261683,0.1869158878504673
2018-03-01,11,1,2.5,4.4,0.4
2018-04-01,3,0,8.9,0.33707865168539325,0.0
2018-05-01,6,1,13.1,0.4580152671755725,0.07633587786259542
2018-06-01,6,0,15.6,0.38461538461538464,0.0
2018-07-01,4,0,1.6,2.5,0.0
2018-08-01,4,0,8.7,0.4597701149425288,0.0
2018-09-01,1,0,3.3,0.30303030303030304,0.0
2018-10-01,2,0,4.9,0.4081632653061224,0.0
2018-11-01,3,0,4.9,0.6122448979591836,0.0
2018-12-01,3,0,3.1,0.9677419354838709,0.0
2019-01-01,7,2,7.7,0.9090909090909091,0.2597402597402597
2019-02-01,2,0,0.8,2.5,0.0
2019-03-01,5,4,9.4,0.5319148936170213,0.425531914893617
2019-04-01,10,0,9.1,1.098901098901099,0.0
2019-05-01,19,1,9.9,1.9191919191919191,0.10101010101010101
2019-06-01,3,0,1.2,2.5,0.0
2019-07-01,6,0,0.9,6.666666666666666,0.0
2019-08-01,2,0,0.7,2.857142857142857,0.0
2019-09-01,3,0,1.1,2.727272727272727,0.0
